customer_id,income_tier,car_model,battery_capacity_kwh
C6586,Low-Mid,Greaves Eltra,16.0
C6587,High,BYD Atto 3 Superior,60.5
C6588,Low-Mid,Ather 450X (4W equiv),20.0
C6589,Low-Mid,Tata Tigor EV Base,21.5
C6590,Low-Mid,Ampere Nexus,30.0
C6591,Mid-Range,Tata Tigor EV,26.0
C6592,Low-Mid,Hero Electric Optima,12.0
C6593,Low-Mid,Greaves Eltra,16.0
C6594,High,BMW iX1,66.5
C6595,Low-Mid,Ampere Nexus,30.0
C6596,Mid-Range,MG Comet EV,17.3
C6597,Mid-Range,Tata Punch EV,35.0
C6598,Low-Mid,Tata Tigor EV Base,21.5
C6599,Low-Mid,Tata Tigor EV Base,21.5
C6600,Low-Mid,Greaves Eltra,16.0
C6601,Low-Mid,Citroen eC3 Feel,29.2
C6602,High,Kia EV6,77.4
C6603,Mid-Range,Tata Tigor EV,26.0
C6604,Mid-Range,Citroen eC3,29.2
C6605,Low-Mid,Tata Tigor EV Base,21.5
C6606,Mid-Range,Citroen eC3,29.2
C6607,Low-Mid,Greaves Eltra,16.0
C6608,Mid-Range,Tata Nexon EV,30.2
C6609,Low-Mid,Ather 450X (4W equiv),20.0
C6610,Low-Mid,Hero Electric Optima,12.0
C6611,Mid-Range,Hyundai Kona Electric,39.2
C6612,Low-Mid,Tata Tiago EV,24.0
C6613,Low-Mid,Tata Tiago EV,24.0
C6614,Mid-Range,Citroen eC3,29.2
C6615,Low-Mid,Greaves Eltra,16.0
C6616,Low-Mid,Ampere Nexus,30.0
C6617,Mid-Range,MG Comet EV,17.3
C6618,High,BYD Atto 3 Superior,60.5
C6619,Low-Mid,Tata Tigor EV Base,21.5
C6620,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6621,Mid-Range,Hyundai Kona Electric,39.2
C6622,Low-Mid,Citroen eC3 Feel,29.2
C6623,Low-Mid,Tata Tiago EV,24.0
C6624,High,Mercedes EQB,66.5
C6625,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6626,High,Kia EV6,77.4
C6627,Mid-Range,Tata Tigor EV,26.0
C6628,High,Volvo XC40 Recharge,75.0
C6629,Low-Mid,Citroen eC3 Feel,29.2
C6630,High,Tata Nexon EV Max,40.5
C6631,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6632,Low-Mid,Hero Electric Optima,12.0
C6633,Low-Mid,Ather 450X (4W equiv),20.0
C6634,Mid-Range,Hyundai Kona Electric,39.2
C6635,Mid-Range,MG Comet EV,17.3
C6636,Low-Mid,Greaves Eltra,16.0
C6637,Mid-Range,Tata Nexon EV,30.2
C6638,Mid-Range,Mahindra e2o Plus,18.5
C6639,Mid-Range,Tata Punch EV,35.0
C6640,Low-Mid,Hero Electric Optima,12.0
C6641,Low-Mid,Citroen eC3 Feel,29.2
C6642,Low-Mid,Tata Tigor EV Base,21.5
C6643,High,Hyundai Ioniq 5,72.6
C6644,Low-Mid,Ather 450X (4W equiv),20.0
C6645,Mid-Range,Tata Tigor EV,26.0
C6646,Mid-Range,Tata Punch EV,35.0
C6647,Low-Mid,Hero Electric Optima,12.0
C6648,Mid-Range,Tata Tigor EV,26.0
C6649,Mid-Range,Tata Punch EV,35.0
C6650,Low-Mid,Citroen eC3 Feel,29.2
C6651,High,Hyundai Ioniq 5,72.6
C6652,High,Hyundai Ioniq 5,72.6
C6653,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6654,High,Audi e-tron 55,95.0
C6655,High,Audi e-tron 55,95.0
C6656,Mid-Range,Citroen eC3,29.2
C6657,Mid-Range,Hyundai Kona Electric,39.2
C6658,High,Mercedes EQB,66.5
C6659,Mid-Range,Citroen eC3,29.2
C6660,Low-Mid,Tata Tiago EV,24.0
C6661,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6662,High,Tata Nexon EV Max,40.5
C6663,Low-Mid,Tata Tiago EV,24.0
C6664,Low-Mid,Tata Tiago EV,24.0
C6665,High,Volvo XC40 Recharge,75.0
C6666,Low-Mid,Ather 450X (4W equiv),20.0
C6667,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6668,Low-Mid,Greaves Eltra,16.0
C6669,Mid-Range,Tata Nexon EV,30.2
C6670,Low-Mid,Ather 450X (4W equiv),20.0
C6671,High,Kia EV6,77.4
C6672,Low-Mid,Greaves Eltra,16.0
C6673,Mid-Range,MG Comet EV,17.3
C6674,High,Hyundai Ioniq 5,72.6
C6675,Low-Mid,Ather 450X (4W equiv),20.0
C6676,Low-Mid,Tata Tigor EV Base,21.5
C6677,High,Kia EV6,77.4
C6678,High,Kia EV6,77.4
C6679,Low-Mid,Hero Electric Optima,12.0
C6680,Low-Mid,Hero Electric Optima,12.0
C6681,Low-Mid,Greaves Eltra,16.0
C6682,Mid-Range,MG Comet EV,17.3
C6683,Mid-Range,Tata Punch EV,35.0
C6684,Low-Mid,Greaves Eltra,16.0
C6685,Low-Mid,Ampere Nexus,30.0
C6686,High,Mercedes EQB,66.5
C6687,Low-Mid,Ampere Nexus,30.0
C6688,Mid-Range,Citroen eC3,29.2
C6689,High,Volvo XC40 Recharge,75.0
C6690,Low-Mid,Greaves Eltra,16.0
C6691,Mid-Range,MG Comet EV,17.3
C6692,Mid-Range,Tata Nexon EV,30.2
C6693,High,Volvo XC40 Recharge,75.0
C6694,Low-Mid,Tata Tiago EV,24.0
C6695,Low-Mid,Greaves Eltra,16.0
C6696,Low-Mid,Tata Tigor EV Base,21.5
C6697,Low-Mid,Hero Electric Optima,12.0
C6698,Mid-Range,Tata Tigor EV,26.0
C6699,High,Hyundai Ioniq 5,72.6
C6700,Mid-Range,Tata Punch EV,35.0
C6701,High,BMW iX1,66.5
C6702,Mid-Range,Mahindra XUV400 EC Pro,39.4
C6703,Mid-Range,Tata Tigor EV,26.0
C6704,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6705,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6706,Low-Mid,Citroen eC3 Feel,29.2
C6707,Low-Mid,Hero Electric Optima,12.0
C6708,Low-Mid,Hero Electric Optima,12.0
C6709,Low-Mid,Tata Tigor EV Base,21.5
C6710,Low-Mid,Ampere Nexus,30.0
C6711,Low-Mid,Citroen eC3 Feel,29.2
C6712,Low-Mid,Citroen eC3 Feel,29.2
C6713,Mid-Range,Mahindra XUV400 EC Pro,39.4
C6714,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6715,Low-Mid,Tata Tigor EV Base,21.5
C6716,Low-Mid,Hero Electric Optima,12.0
C6717,Mid-Range,Tata Nexon EV,30.2
C6718,Mid-Range,Hyundai Kona Electric,39.2
C6719,Low-Mid,Ather 450X (4W equiv),20.0
C6720,Low-Mid,Greaves Eltra,16.0
C6721,Low-Mid,Ampere Nexus,30.0
C6722,Low-Mid,Hero Electric Optima,12.0
C6723,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6724,Low-Mid,Greaves Eltra,16.0
C6725,Low-Mid,Tata Tiago EV,24.0
C6726,Mid-Range,Tata Tigor EV,26.0
C6727,Mid-Range,Mahindra e2o Plus,18.5
C6728,Mid-Range,Mahindra e2o Plus,18.5
C6729,Low-Mid,Hero Electric Optima,12.0
C6730,Low-Mid,Ather 450X (4W equiv),20.0
C6731,High,Audi e-tron 55,95.0
C6732,Mid-Range,Tata Tigor EV,26.0
C6733,Low-Mid,Hero Electric Optima,12.0
C6734,Low-Mid,Ather 450X (4W equiv),20.0
C6735,Low-Mid,Greaves Eltra,16.0
C6736,Mid-Range,Tata Nexon EV,30.2
C6737,Low-Mid,Tata Tiago EV,24.0
C6738,Mid-Range,Tata Tigor EV,26.0
C6739,Mid-Range,Citroen eC3,29.2
C6740,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6741,Mid-Range,Tata Punch EV,35.0
C6742,Mid-Range,Tata Nexon EV,30.2
C6743,Mid-Range,Tata Tigor EV,26.0
C6744,Low-Mid,Citroen eC3 Feel,29.2
C6745,Mid-Range,MG Comet EV,17.3
C6746,High,Kia EV6,77.4
C6747,Mid-Range,Tata Punch EV,35.0
C6748,High,Hyundai Ioniq 5,72.6
C6749,Low-Mid,Hero Electric Optima,12.0
C6750,Mid-Range,Mahindra e2o Plus,18.5
C6751,Low-Mid,Tata Tiago EV,24.0
C6752,Mid-Range,Tata Tigor EV,26.0
C6753,Low-Mid,Ather 450X (4W equiv),20.0
C6754,Low-Mid,Ather 450X (4W equiv),20.0
C6755,High,Mercedes EQB,66.5
C6756,Low-Mid,Ampere Nexus,30.0
C6757,Mid-Range,Mahindra XUV400 EC Pro,39.4
C6758,Low-Mid,Hero Electric Optima,12.0
C6759,Low-Mid,Tata Tigor EV Base,21.5
C6760,Low-Mid,Tata Tiago EV,24.0
C6761,Mid-Range,Mahindra XUV400 EC Pro,39.4
C6762,Mid-Range,Mahindra e2o Plus,18.5
C6763,Mid-Range,Mahindra XUV400 EC Pro,39.4
C6764,Mid-Range,Tata Punch EV,35.0
C6765,Mid-Range,Tata Punch EV,35.0
C6766,Low-Mid,Citroen eC3 Feel,29.2
C6767,Low-Mid,Tata Tigor EV Base,21.5
C6768,Low-Mid,Ather 450X (4W equiv),20.0
C6769,High,Tata Nexon EV Max,40.5
C6770,Low-Mid,Hero Electric Optima,12.0
C6771,High,Mercedes EQB,66.5
C6772,Low-Mid,Hero Electric Optima,12.0
C6773,Low-Mid,Tata Tiago EV,24.0
C6774,Low-Mid,Hero Electric Optima,12.0
C6775,Mid-Range,Tata Nexon EV,30.2
C6776,Low-Mid,Citroen eC3 Feel,29.2
C6777,Low-Mid,Ather 450X (4W equiv),20.0
C6778,Low-Mid,Tata Tigor EV Base,21.5
C6779,Low-Mid,Ather 450X (4W equiv),20.0
C6780,High,Audi e-tron 55,95.0
C6781,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6782,Mid-Range,Citroen eC3,29.2
C6783,Low-Mid,Citroen eC3 Feel,29.2
C6784,Low-Mid,Ampere Nexus,30.0
C6785,Mid-Range,Mahindra XUV400 EC Pro,39.4
C6786,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6787,Low-Mid,Tata Tigor EV Base,21.5
C6788,Mid-Range,Hyundai Kona Electric,39.2
C6789,Mid-Range,MG Comet EV,17.3
C6790,Low-Mid,Ampere Nexus,30.0
C6791,Mid-Range,Tata Punch EV,35.0
C6792,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6793,Mid-Range,MG Comet EV,17.3
C6794,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6795,Mid-Range,Citroen eC3,29.2
C6796,Mid-Range,Mahindra XUV400 EC Pro,39.4
C6797,Mid-Range,Citroen eC3,29.2
C6798,Low-Mid,Greaves Eltra,16.0
C6799,High,Volvo XC40 Recharge,75.0
C6800,Low-Mid,Citroen eC3 Feel,29.2
C6801,Low-Mid,Greaves Eltra,16.0
C6802,High,BYD Atto 3 Superior,60.5
C6803,Mid-Range,Mahindra XUV400 EC Pro,39.4
C6804,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6805,High,Tata Nexon EV Max,40.5
C6806,Mid-Range,Hyundai Kona Electric,39.2
C6807,Mid-Range,Tata Tigor EV,26.0
C6808,High,Tata Nexon EV Max,40.5
C6809,Mid-Range,Tata Tigor EV,26.0
C6810,High,BMW iX1,66.5
C6811,Mid-Range,Tata Punch EV,35.0
C6812,Low-Mid,Ather 450X (4W equiv),20.0
C6813,High,MG ZS EV Exclusive,50.3
C6814,Low-Mid,Tata Tigor EV Base,21.5
C6815,Low-Mid,Hero Electric Optima,12.0
C6816,Low-Mid,Ampere Nexus,30.0
C6817,Mid-Range,Citroen eC3,29.2
C6818,Low-Mid,Hero Electric Optima,12.0
C6819,Mid-Range,Mahindra XUV400 EC Pro,39.4
C6820,Low-Mid,Greaves Eltra,16.0
C6821,Low-Mid,Ather 450X (4W equiv),20.0
C6822,Low-Mid,Citroen eC3 Feel,29.2
C6823,Low-Mid,Ather 450X (4W equiv),20.0
C6824,Mid-Range,MG Comet EV,17.3
C6825,Mid-Range,Hyundai Kona Electric,39.2
C6826,Mid-Range,Mahindra e2o Plus,18.5
C6827,High,BYD Atto 3 Superior,60.5
C6828,Mid-Range,Hyundai Kona Electric,39.2
C6829,High,BMW iX1,66.5
C6830,High,Tata Nexon EV Max,40.5
C6831,Mid-Range,Tata Tigor EV,26.0
C6832,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6833,High,Volvo XC40 Recharge,75.0
C6834,Mid-Range,Tata Punch EV,35.0
C6835,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6836,High,BMW iX1,66.5
C6837,High,Hyundai Ioniq 5,72.6
C6838,Low-Mid,Ather 450X (4W equiv),20.0
C6839,Low-Mid,Greaves Eltra,16.0
C6840,High,Tata Nexon EV Max,40.5
C6841,Low-Mid,Tata Tiago EV,24.0
C6842,Low-Mid,Greaves Eltra,16.0
C6843,Mid-Range,Tata Punch EV,35.0
C6844,Low-Mid,Tata Tigor EV Base,21.5
C6845,Low-Mid,Greaves Eltra,16.0
C6846,High,Kia EV6,77.4
C6847,Mid-Range,Tata Punch EV,35.0
C6848,Mid-Range,Mahindra XUV400 EC Pro,39.4
C6849,Mid-Range,Citroen eC3,29.2
C6850,Mid-Range,Mahindra e2o Plus,18.5
C6851,Mid-Range,Hyundai Kona Electric,39.2
C6852,Mid-Range,MG Comet EV,17.3
C6853,Low-Mid,Citroen eC3 Feel,29.2
C6854,Mid-Range,Tata Nexon EV,30.2
C6855,Low-Mid,Hero Electric Optima,12.0
C6856,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6857,Mid-Range,Citroen eC3,29.2
C6858,High,BYD Atto 3 Superior,60.5
C6859,Mid-Range,Tata Punch EV,35.0
C6860,High,Mercedes EQB,66.5
C6861,Low-Mid,Ampere Nexus,30.0
C6862,Low-Mid,Ather 450X (4W equiv),20.0
C6863,Low-Mid,Ather 450X (4W equiv),20.0
C6864,Low-Mid,Tata Tigor EV Base,21.5
C6865,Low-Mid,Hero Electric Optima,12.0
C6866,Low-Mid,Ampere Nexus,30.0
C6867,Low-Mid,Hero Electric Optima,12.0
C6868,High,Tata Nexon EV Max,40.5
C6869,Low-Mid,Tata Tiago EV,24.0
C6870,High,Mercedes EQB,66.5
C6871,Low-Mid,Ather 450X (4W equiv),20.0
C6872,Low-Mid,Ather 450X (4W equiv),20.0
C6873,Low-Mid,Tata Tiago EV,24.0
C6874,Mid-Range,MG Comet EV,17.3
C6875,High,Hyundai Ioniq 5,72.6
C6876,Low-Mid,Hero Electric Optima,12.0
C6877,Low-Mid,Tata Tigor EV Base,21.5
C6878,High,Mercedes EQB,66.5
C6879,Low-Mid,Citroen eC3 Feel,29.2
C6880,Low-Mid,Tata Tiago EV,24.0
C6881,Low-Mid,Ampere Nexus,30.0
C6882,Low-Mid,Ather 450X (4W equiv),20.0
C6883,Low-Mid,Ather 450X (4W equiv),20.0
C6884,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6885,Low-Mid,Greaves Eltra,16.0
C6886,High,Kia EV6,77.4
C6887,Low-Mid,Ampere Nexus,30.0
C6888,Mid-Range,Mahindra e2o Plus,18.5
C6889,High,Hyundai Ioniq 5,72.6
C6890,Low-Mid,Tata Tigor EV Base,21.5
C6891,High,Mercedes EQB,66.5
C6892,Low-Mid,Tata Tiago EV,24.0
C6893,Low-Mid,Citroen eC3 Feel,29.2
C6894,Low-Mid,Ather 450X (4W equiv),20.0
C6895,High,Audi e-tron 55,95.0
C6896,Low-Mid,Hero Electric Optima,12.0
C6897,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6898,High,BMW iX1,66.5
C6899,Mid-Range,Hyundai Kona Electric,39.2
C6900,Low-Mid,Hero Electric Optima,12.0
C6901,Mid-Range,Tata Tigor EV,26.0
C6902,Mid-Range,Citroen eC3,29.2
C6903,Mid-Range,Hyundai Kona Electric,39.2
C6904,High,Kia EV6,77.4
C6905,High,BMW iX1,66.5
C6906,High,Hyundai Ioniq 5,72.6
C6907,Mid-Range,Tata Tigor EV,26.0
C6908,Low-Mid,Greaves Eltra,16.0
C6909,Low-Mid,Ather 450X (4W equiv),20.0
C6910,Mid-Range,Tata Nexon EV,30.2
C6911,Low-Mid,Tata Tiago EV,24.0
C6912,Mid-Range,Mahindra XUV400 EC Pro,39.4
C6913,Mid-Range,Mahindra e2o Plus,18.5
C6914,Mid-Range,Citroen eC3,29.2
C6915,High,Volvo XC40 Recharge,75.0
C6916,Low-Mid,Ather 450X (4W equiv),20.0
C6917,Low-Mid,Citroen eC3 Feel,29.2
C6918,Mid-Range,Tata Tigor EV,26.0
C6919,Low-Mid,Citroen eC3 Feel,29.2
C6920,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6921,Low-Mid,Hero Electric Optima,12.0
C6922,Mid-Range,Tata Punch EV,35.0
C6923,Mid-Range,Mahindra e2o Plus,18.5
C6924,Low-Mid,Ampere Nexus,30.0
C6925,Mid-Range,Hyundai Kona Electric,39.2
C6926,Mid-Range,Mahindra XUV400 EC Pro,39.4
C6927,Mid-Range,Tata Tigor EV,26.0
C6928,Low-Mid,Citroen eC3 Feel,29.2
C6929,Low-Mid,Tata Tigor EV Base,21.5
C6930,Mid-Range,Tata Nexon EV,30.2
C6931,Mid-Range,Mahindra e2o Plus,18.5
C6932,Mid-Range,Tata Tigor EV,26.0
C6933,Mid-Range,Tata Punch EV,35.0
C6934,Low-Mid,Ather 450X (4W equiv),20.0
C6935,Low-Mid,Tata Tiago EV,24.0
C6936,Mid-Range,Tata Tigor EV,26.0
C6937,Mid-Range,Tata Tigor EV,26.0
C6938,Mid-Range,Mahindra e2o Plus,18.5
C6939,Mid-Range,Tata Nexon EV,30.2
C6940,Low-Mid,Citroen eC3 Feel,29.2
C6941,Low-Mid,Ather 450X (4W equiv),20.0
C6942,Low-Mid,Hero Electric Optima,12.0
C6943,Low-Mid,Tata Tiago EV,24.0
C6944,Mid-Range,Tata Tigor EV,26.0
C6945,Mid-Range,Tata Nexon EV,30.2
C6946,Mid-Range,Hyundai Kona Electric,39.2
C6947,Mid-Range,Mahindra e2o Plus,18.5
C6948,Mid-Range,Hyundai Kona Electric,39.2
C6949,Low-Mid,Ather 450X (4W equiv),20.0
C6950,Mid-Range,Citroen eC3,29.2
C6951,Low-Mid,Tata Tiago EV,24.0
C6952,Low-Mid,Greaves Eltra,16.0
C6953,Low-Mid,Hero Electric Optima,12.0
C6954,Low-Mid,Tata Tiago EV,24.0
C6955,Mid-Range,MG Comet EV,17.3
C6956,Low-Mid,Ampere Nexus,30.0
C6957,Mid-Range,Citroen eC3,29.2
C6958,Low-Mid,Ather 450X (4W equiv),20.0
C6959,Low-Mid,Ampere Nexus,30.0
C6960,Low-Mid,Ather 450X (4W equiv),20.0
C6961,Low-Mid,Hero Electric Optima,12.0
C6962,Low-Mid,Ather 450X (4W equiv),20.0
C6963,Low-Mid,Tata Tiago EV,24.0
C6964,Low-Mid,Tata Tigor EV Base,21.5
C6965,Low-Mid,Tata Tiago EV,24.0
C6966,Low-Mid,Ola S1 Pro (4W equiv),22.0
C6967,High,Tata Nexon EV Max,40.5
C6968,Mid-Range,Tata Punch EV,35.0
C6969,Mid-Range,Tata Nexon EV,30.2
C6970,Mid-Range,Tata Punch EV,35.0
C6971,Low-Mid,Ather 450X (4W equiv),20.0
C6972,Mid-Range,Tata Punch EV,35.0
C6973,Low-Mid,Ampere Nexus,30.0
C6974,Low-Mid,Ampere Nexus,30.0
C6975,High,BMW iX1,66.5
C6976,Low-Mid,Tata Tigor EV Base,21.5
C6977,Low-Mid,Citroen eC3 Feel,29.2
C6978,High,BMW iX1,66.5
C6979,Mid-Range,Tata Tigor EV,26.0
C6980,Mid-Range,Tata Tigor EV,26.0
C6981,Low-Mid,Tata Tiago EV,24.0
C6982,Mid-Range,Mahindra e2o Plus,18.5
C6983,High,BYD Atto 3 Superior,60.5
C6984,Low-Mid,Greaves Eltra,16.0
C6985,Mid-Range,Mahindra XUV400 EC Pro,39.4
C6986,Low-Mid,Hero Electric Optima,12.0
C6987,Low-Mid,Ampere Nexus,30.0
C6988,High,Volvo XC40 Recharge,75.0
C6989,Mid-Range,Tata Nexon EV,30.2
C6990,Mid-Range,Tata Tigor EV,26.0
C6991,Low-Mid,Tata Tiago EV,24.0
C6992,Low-Mid,Tata Tiago EV,24.0
C6993,Mid-Range,Tata Nexon EV,30.2
C6994,Low-Mid,Citroen eC3 Feel,29.2
C6995,High,Tata Nexon EV Max,40.5
C6996,High,Kia EV6,77.4
C6997,Low-Mid,Tata Tiago EV,24.0
C6998,Low-Mid,Hero Electric Optima,12.0
C6999,Low-Mid,Greaves Eltra,16.0
C7000,Mid-Range,Tata Tigor EV,26.0
C7001,Low-Mid,Hero Electric Optima,12.0
C7002,High,Kia EV6,77.4
C7003,Low-Mid,Ather 450X (4W equiv),20.0
C7004,Mid-Range,Tata Nexon EV,30.2
C7005,High,Volvo XC40 Recharge,75.0
C7006,Mid-Range,Tata Punch EV,35.0
C7007,Mid-Range,Hyundai Kona Electric,39.2
C7008,Low-Mid,Tata Tiago EV,24.0
C7009,Low-Mid,Tata Tiago EV,24.0
C7010,Mid-Range,Mahindra e2o Plus,18.5
C7011,Low-Mid,Ather 450X (4W equiv),20.0
C7012,Low-Mid,Hero Electric Optima,12.0
C7013,High,BMW iX1,66.5
C7014,Mid-Range,Tata Punch EV,35.0
C7015,Mid-Range,MG Comet EV,17.3
C7016,High,Kia EV6,77.4
C7017,Low-Mid,Hero Electric Optima,12.0
C7018,Mid-Range,MG Comet EV,17.3
C7019,Low-Mid,Greaves Eltra,16.0
C7020,Mid-Range,Tata Tigor EV,26.0
C7021,Mid-Range,Mahindra e2o Plus,18.5
C7022,Low-Mid,Greaves Eltra,16.0
C7023,Mid-Range,Hyundai Kona Electric,39.2
C7024,Mid-Range,Hyundai Kona Electric,39.2
C7025,Low-Mid,Ampere Nexus,30.0
C7026,Low-Mid,Ampere Nexus,30.0
C7027,Low-Mid,Tata Tigor EV Base,21.5
C7028,Low-Mid,Tata Tiago EV,24.0
C7029,Mid-Range,MG Comet EV,17.3
C7030,Low-Mid,Tata Tigor EV Base,21.5
C7031,Low-Mid,Citroen eC3 Feel,29.2
C7032,Low-Mid,Ampere Nexus,30.0
C7033,Low-Mid,Citroen eC3 Feel,29.2
C7034,Low-Mid,Ampere Nexus,30.0
C7035,Mid-Range,MG Comet EV,17.3
C7036,Low-Mid,Ather 450X (4W equiv),20.0
C7037,Mid-Range,Hyundai Kona Electric,39.2
C7038,High,BMW iX1,66.5
C7039,Mid-Range,Tata Punch EV,35.0
C7040,Mid-Range,MG Comet EV,17.3
C7041,Mid-Range,Hyundai Kona Electric,39.2
C7042,Low-Mid,Ather 450X (4W equiv),20.0
C7043,Mid-Range,Tata Nexon EV,30.2
C7044,Mid-Range,MG Comet EV,17.3
C7045,Low-Mid,Tata Tiago EV,24.0
C7046,Low-Mid,Ather 450X (4W equiv),20.0
C7047,Low-Mid,Tata Tigor EV Base,21.5
C7048,Low-Mid,Greaves Eltra,16.0
C7049,Low-Mid,Ather 450X (4W equiv),20.0
C7050,Mid-Range,Hyundai Kona Electric,39.2
C7051,Mid-Range,Citroen eC3,29.2
C7052,High,BMW iX1,66.5
C7053,Low-Mid,Ola S1 Pro (4W equiv),22.0
C7054,Low-Mid,Ather 450X (4W equiv),20.0
C7055,Low-Mid,Citroen eC3 Feel,29.2
C7056,Low-Mid,Greaves Eltra,16.0
C7057,Mid-Range,Tata Punch EV,35.0
C7058,Low-Mid,Hero Electric Optima,12.0
C7059,Low-Mid,Ampere Nexus,30.0
C7060,Mid-Range,Mahindra e2o Plus,18.5
C7061,Low-Mid,Tata Tiago EV,24.0
C7062,Low-Mid,Ampere Nexus,30.0
C7063,High,Volvo XC40 Recharge,75.0
C7064,Low-Mid,Ola S1 Pro (4W equiv),22.0
C7065,High,BYD Atto 3 Superior,60.5
C7066,Mid-Range,Tata Tigor EV,26.0
C7067,High,Tata Nexon EV Max,40.5
C7068,Low-Mid,Tata Tigor EV Base,21.5
C7069,Mid-Range,Tata Nexon EV,30.2
C7070,Low-Mid,Tata Tiago EV,24.0
C7071,Mid-Range,Tata Punch EV,35.0
C7072,High,Kia EV6,77.4
C7073,Low-Mid,Tata Tiago EV,24.0
C7074,Low-Mid,Ather 450X (4W equiv),20.0
C7075,Low-Mid,Hero Electric Optima,12.0
C7076,Mid-Range,Tata Punch EV,35.0
C7077,Mid-Range,MG Comet EV,17.3
C7078,High,MG ZS EV Exclusive,50.3
C7079,Mid-Range,Mahindra e2o Plus,18.5
C7080,Low-Mid,Ampere Nexus,30.0
C7081,Low-Mid,Tata Tigor EV Base,21.5
C7082,Low-Mid,Ampere Nexus,30.0
C7083,Mid-Range,Mahindra XUV400 EC Pro,39.4
C7084,Mid-Range,Tata Tigor EV,26.0
C7085,Mid-Range,Citroen eC3,29.2
C7086,Low-Mid,Citroen eC3 Feel,29.2
C7087,Low-Mid,Ola S1 Pro (4W equiv),22.0
C7088,Low-Mid,Tata Tigor EV Base,21.5
C7089,Low-Mid,Ather 450X (4W equiv),20.0
C7090,Mid-Range,Tata Punch EV,35.0
C7091,Low-Mid,Ather 450X (4W equiv),20.0
C7092,Low-Mid,Greaves Eltra,16.0
C7093,Mid-Range,Mahindra XUV400 EC Pro,39.4
C7094,Mid-Range,MG Comet EV,17.3
C7095,High,Hyundai Ioniq 5,72.6
C7096,High,Mercedes EQB,66.5
C7097,Mid-Range,Citroen eC3,29.2
C7098,Low-Mid,Ola S1 Pro (4W equiv),22.0
C7099,Low-Mid,Citroen eC3 Feel,29.2
C7100,Mid-Range,Tata Nexon EV,30.2
C7101,Low-Mid,Citroen eC3 Feel,29.2
C7102,Mid-Range,Tata Nexon EV,30.2
C7103,Low-Mid,Tata Tigor EV Base,21.5
C7104,Mid-Range,Tata Punch EV,35.0
C7105,Mid-Range,Mahindra XUV400 EC Pro,39.4
C7106,Low-Mid,Citroen eC3 Feel,29.2
C7107,Low-Mid,Ampere Nexus,30.0
C7108,High,Tata Nexon EV Max,40.5
C7109,High,BYD Atto 3 Superior,60.5
C7110,Mid-Range,Citroen eC3,29.2
C7111,Low-Mid,Ola S1 Pro (4W equiv),22.0
C7112,Mid-Range,Mahindra e2o Plus,18.5
C7113,Mid-Range,Hyundai Kona Electric,39.2
C7114,Low-Mid,Ampere Nexus,30.0
C7115,Low-Mid,Ola S1 Pro (4W equiv),22.0
C7116,Low-Mid,Tata Tigor EV Base,21.5
C7117,High,BMW iX1,66.5
C7118,High,Hyundai Ioniq 5,72.6
C7119,Low-Mid,Citroen eC3 Feel,29.2
C7120,Low-Mid,Ather 450X (4W equiv),20.0
C7121,Low-Mid,Hero Electric Optima,12.0
C7122,High,Audi e-tron 55,95.0
C7123,High,Volvo XC40 Recharge,75.0
C7124,High,Audi e-tron 55,95.0
C7125,Mid-Range,Mahindra XUV400 EC Pro,39.4
C7126,Low-Mid,Greaves Eltra,16.0
C7127,Mid-Range,Mahindra e2o Plus,18.5
C7128,Mid-Range,Citroen eC3,29.2
C7129,Low-Mid,Hero Electric Optima,12.0
C7130,Mid-Range,MG Comet EV,17.3
C7131,Mid-Range,Mahindra XUV400 EC Pro,39.4
C7132,Low-Mid,Tata Tigor EV Base,21.5
C7133,Low-Mid,Ampere Nexus,30.0
C7134,Low-Mid,Hero Electric Optima,12.0
C7135,Low-Mid,Tata Tigor EV Base,21.5
C7136,Low-Mid,Ola S1 Pro (4W equiv),22.0
C7137,Mid-Range,Mahindra XUV400 EC Pro,39.4
C7138,Low-Mid,Greaves Eltra,16.0
C7139,Low-Mid,Tata Tigor EV Base,21.5
C7140,Mid-Range,Tata Tigor EV,26.0
C7141,Low-Mid,Tata Tigor EV Base,21.5
